Title,Time (years),Yearly Wage (gp),Daily Wage (cp),Resources (gp),Skills,Leads
Cripple,5,15,40,5,"Appraisal, Aura Reading, Begging, Conspicuous, Faith, Folklore, Inconspicuous, Scavenging, Staff","Beggar, Slave, Convert, Criminal, Jester, Leper, Pickpocket, Prisoner, Servant"
Crossbowman,3,50,130,15,"Camouflage, Campaigning, Crossbow, Falconry, Formation Fighting, Fortifications, Fletching, Hunting, Marching, Observation, Tactics","Archer, Artillerist, Bowyer, Huntsman, Mercenary, Ranger, Sergeant, Veteran"
Crusader,4,75,200,30,"Armoury, Bow, Brawling, Command, Demonology, Doctrine, Faith, Knives, Lance, Logistics, Marching, Read, Riding, Ritual, Shield, Spear, Sword, Tactics, Theology, Write","Exorcist, Chaplain, Inquisitor, Knight, Mystic, Priest, Veteran"
Cult Leader,5,80,210,40,"Aura Reading, Bloodletting, Dance, Demonology, Faith, Falsehood, Heretical Doctrine, Intimidation, Jargon, Knives, Leadership, Occultism, Preaching, Seduction","Augur, Covenanter, Diviner, Fertility Priestess, Insurrectionist, Spirit Binder"
Cultist,5,25,60,10,"Aura Reading, Bloodletting, Conspicuous, Dance, Faith, Falsehood, Folklore, Hauling, Heretical Doctrine, Inconspicuous, Knives, Occultism, Preaching, Scavenging, Serving, Sing","Covenanter, Mystic, Cult Leader, Heretic, Assassin"
Custodian,5,30,80,15,"Appraisal, Archaeology, Church Law, Demonology, Doctrine, Faith, Research, Ritual, Theology","Chaplain, Archeologist, Deacon, Evangalist, Scribe, Caretaker"
Dairyman,4,35,90,10,"Animal Handling, Bargaining, Bartering, Cooking, Farming, Falsehood, Folklore, Hauling, Herbalism, Herding, Preservation,","Cowherd, Farmer, Grocer, Shepherd, Shearer"
Dame,7,150,410,105,"Accounting, Command, Conspicuous, Cryptography, Diplomacy, Disguise, Estate Management, Etiquette, Falsehood, Foreign Languages, Heraldry, Persuasion, Politics, Read, Write","Ambassador, Count, Chamberlain, Spy"
Deacon,5,30,80,15,"Administration, Church Law, Doctrine, Faith, Meditation, Oratory, Preaching, Read, Ritual, Sing, Theology, Write","Apostate, Evangelist, Custodian, Priest, Monk, Nun, Scribe, Cardinal"
Demonologist,9,40,100,35,"Ancient Languages, Archaeology, Bartering, Demonology, Folklore, Foreign Languages, Heretical Doctrine, Lecturing, Occultism, Read, Research, Summoning, Symbology, Ugly Truth, Write","Master of Artifice, Archeologist, Master Magus, Hedge Wizard, Rogue Wizard, Scientist"
Dictator,5,500,1360,250,"Command, Doctrine, Engineering, Extortion, Leadership, Logistics, Persuasion, Politics, Seduction, Strategy, Tactics, Ugly Truth, Write","Emperor, Governor, General, Senator, Magistrate, Consul, Bureaucrat, Tribune, Duke, Lord, Censor, Chancellor, Admiral"
Digger,4,60,160,20,"Axe, Building, Carpentry, Digging, Engineering, Munitions, Firebuilding, Fortifications, Geology, Hammer, Hauling, Mining, Prospecting","Builder, Journeyman, Sapper, Surveyor, Miner, Dikeman, Plumber"
Dikeman,4,35,90,10,"Digging, Farming, Hauling, Irrigation, Surveying, Ugly Truth","Hedger, Irrigator, Miner, Ploughman"
Diplomat,5,150,410,75,"Administration, Aura Reading, Bargaining, Church Law, Diplomacy, Etiquette, Foreign Languages, Geography, Heraldry, History, Law, Leadership, Logic, Observation, Persuasion, Politics, Research, Sing, Symbology, Ugly Truth","Ambassador, Consul, Chancellor, Spy, Senator, Governor, Merchant, Tribune, Attorney"
Distiller,7,50,130,35,"Alchemy, Apothecary, Bargaining, Bartering, Brewing, Cooking, Distillation, Drinking, Firebuilding, Herbalism, Tasting","Alchemist, Ale Taster, Baker, Barkeep, Brewer, Butcher, Chef, Grocer, Master Cook, Tradesman, Vintner, Barmaid"
Diviner,8,47,120,35,"Astrology, Aura Reading, Faith, Herbalism, Meditation, Meteorology, Occultism, Persuasion, Preaching, Sing, Staff, Symbology","Astrologer, Augur, Elementalist, Prophet, Sage"
Dock Master,6,80,210,45,"Accounting, Administration, Appraisal, Bureaucracy, Engineering, Foreign Languages, Geography, Intimidation, Logistics, Management, Persuasion, Shipwright, Smuggling","Banker, Bureaucrat, Merchant"
Dock Worker,3,40,100,10,"Accounting, Brawling, Carpentry, Fishing, Gambling, Hauling, Rigging, Shipwright, Smuggling, Swimming","Carpenter, Caulker, Fishmonger, Journeyman, Marine, Ship Mate, Shipwright, Smuggler"
Doctor,7,150,410,105,"Anatomy, Apothecary, Bloodletting, Field Dressing, Herbalism, Knives, Logic, Midwifery, Persuasion, Poisons, Read, Sleight of Hand, Surgery, Ugly Truth, Write","Hospital Warden, Master Physician"
Druid,8,80,210,60,"Astrology, Aura Reading, Dance, Folklore, Foraging, Herbalism, Intimidation, Jargon, Meditation, Occultism, Preaching, Ritual, Spirit Binding, Staff, Symbology","Apothecary, Augur, Diviner, Elementalist, Fertility Priestess, Necromancer"
Duke,11,1250,3420,1375,"Accounting, Bureaucracy, Command, Dance, Estate Management, Etiquette, Geography, Heraldry, Hunting, Knives, Lance, Law, Logistics, Poisons, Politics, Read, Riding, Siege, Strategy, Sword, Write","Archbishop, Fleet Admiral, General, Prince"
Dyer,5,35,90,15,"Appraisal, Bargaining, Bartering, Dyeing, Foraging, Hauling, Herbalism, Weaving","Draper, Leatherworker, Tailor, Haberdasher, Weaver, Master Craftsman, Tradesman"
Elementalist,8,150,410,120,"Ancient Languages, Astrology, Aura Reading, Dance, Doctrine, Faith, Meditation, Philosophy, Preaching, Runic Charms, Sing, Staff","Alchemist, Diviner, Master Magus, Prophet, Sage"
Emperor,12,10000,27390,12000,"Accounting, Administration, Bureaucracy, Campaigning, Command, Diplomacy, Geography, Heraldry, Intimidation, Law, Leadership, Logistics, Oratory, Poisons, Politics, Read, Strategy, Write","Fleet Admiral, Marshal, Pope, Prophet"
Enchanter,9,155,420,135,"Alchemy, Appraisal, Archaeology, Enchanting, Engraving, Gem Shaping, Geometry, Metallurgy, Philosophy, Smithing, Symbology","Court Wizard, Archeologist, Hedge Wizard, Rogue Wizard, Master Magus, Scientist"
Engineer,5,115,310,55,"Architecture, Distillation, Engineering, Fortifications, Geology, Geometry, Invention, Logic, Mathematics, Metallurgy, Milling, Munitions, Physics, Read, Research, Write","Architect, Artillerist, Builder, Civil Engineer, Distiller, Mechanical Engineer, Inventor, Plumber, Sculptor, Scientist"
Engraver,7,70,190,45,"Appraisal, Bargaining, Calligraphy, Carving, Engraving, Gem Shaping, Illustration, Metallurgy, Write","Artist, Luthier, Armorer, Accountant, Coin Minter, Master Craftsman"
Ensign,4,45,120,15,"Munitions, Campaigning, Cartography, Command, Drinking, Firearms, Heraldry, Leadership, Management, Navigation, Observation, Piloting, Sailing, Seamanship, Signaling, Sword, Tactics","Armorer, Boatswain, Midshipman, Lieutenant, Sergeant, Shipwright, Quartermaster"
Equestrian,5,40,100,20,"Animal Handling, Armoury, Bow, Campaigning, Driving, Field Dressing, Foraging, Formation Fighting, Hunting, Lance, Leatherworking, Observation, Riding, Shield, Spear, Tactics","Cavalryman, Courier, Groom, Farrier, Huntmaster, Farrier"
Eunuch,4,20,50,5,"Administration, Etiquette, Healing, Herbalism, Instruction, Oratory, Politics, Research, Ritual, Seduction, Sing, Surgery, Ugly Truth","Caretaker, Hosteller, Chamberlain, Scribe, Court Astrologer, Spice Merchant, Florist, Gardener, Concubine, Bodyguard, Indentured Soldier, Bureaucrat, Tradesman, Assassin"
Evangelist,3,30,80,5,"Conspicuous, Cudgel, Demonology, Diatribe, Faith, Falsehood, Intimidation, Lecturing, Oratory, Persuasion","Crusader, Cultist, Custodian, Deacon, Heretic, Scribe"
Exorcist,7,45,120,30,"Ancient Languages, Aura Reading, Church Law, Demonology, Doctrine, Faith, History, Interrogation, Observation, Read, Ritual, Symbology, Torture, Write","Apostate, Chaplain, Crusader, Demonologist, Inquisitor, Priest, Researcher, Scholar"
Explorer,6,150,410,90,"Astronomy, Bargaining, Cartography, Climbing, Exploration, Falconry, Fishing, Geology, Hunting, Navigation, Orienteering, Rigging, Seamanship, Survival","Navigator, Ship Captain, Admiral, Colonist, Cartographer, Governor, Missionary, Diplomat, Tradesman, Mercenary, Scout, Spy, Archeologist"
Falconer,5,45,120,20,"Animal Handling, Bow, Butchery, Camouflage, Cooking, Falconry, Fletching, Hunting, Knives, Leatherworking, Orienteering, Stealth, Tracking, Riding","Archer, Houndmaster, Huntmaster, Master Caretaker, Merchant Adventurer, Surveyor, Fowler, Scout"
Farmer,7,45,120,30,"Animal Handling, Appraisal, Bargaining, Building, Cooking, Estate Management, Farming, Folklore, Gardening, Herbalism, Herding, Meteorology, Spear, Surveying","Baker, Brewer, Butcher, Cottager, Miller, Yeoman, Apiarist, Farrier, Shepherd, Swineherd, Meat Curer"
Farmhand,3,25,60,5,"Animal Handling, Bartering, Butchery, Digging, Farming, Firebuilding, Folklore, Foraging, Hauling, Herding, Riding, Sing, Spear, Ugly Truth","Grainmonger, Shepherd, Swineherd, Cowherd, Ploughman, Reaper, Tiller, Dikeman, Equestrian, Shearer, Swineherd, Meat Curer"
Farrier,5,45,120,20,"Animal Handling, Bargaining, Cobbling, Crafting, Driving, Firebuilding, Leatherworking, Mending, Metallurgy, Riding, Smithing","Blacksmith, Engraver, Master Craftsman, Forger, Merchant, Tradesman, Equestrian"
Fence,6,50,130,30,"Accounting, Appraisal, Bargaining, Bartering, Counterfeiting, Extortion, Falsehood, Forgery, Gambling, Inconspicuous, Persuasion, Smuggling,","Appraiser, Merchant, Smuggler, Tradesman"
Fertility Priestess,6,80,210,45,"Anatomy, Apothecary, Astrology, Aura Reading, Child-Rearing, Faith, Herbalism, Midwifery, Nursing, Philosophy, Preaching, Ritual, Seduction, Sing, Staff, Theology, Ugly Truth","Augur, Court Astrologer, Cult Leader, Druid, Elementalist, Midwife, Prophet, Sage"
Fisher,3,45,120,10,"Bargaining, Cooking, Fishing, Folklore, Foraging, Spear, Knots, Observation, Rigging, Sailing, Seamanship","Fishmonger, Dock Worker, Rat Catcher, Seaman, Ship Mate, Meat Curer"
Fishmonger,5,47,120,20,"Appraisal, Bargaining, Butchery, Conspicuous, Falsehood, Fishing, Bartering, Knives, Preservation, Seamanship","Butcher, Dock Worker, Farmer, Grocer, Merchant, Ship Mate"
Fleet Admiral,8,250,680,200,"Administration, Campaigning, Cartography, Command, Diplomacy, Drinking, Heraldry, Intimidation, Leadership, Management, Navigation, Observation, Politics, Sailing, Seamanship, Signaling, Strategy, Sword","Ambassador, Burgomaster, Governor, Dock Master, Duke, General"
Florist,6,30,80,15,"Apothecary, Bargaining, Dyeing, Foraging, Gardening, Herbalism, Meteorology, Smuggling","Apothecary, Cottager, Fence, Gardener, Grocer, Groundskeeper, Apiarist"
Forester,7,40,100,25,"Axe, Bow, Camouflage, Cooking, Digging, Field Dressing, Firebuilding, Fishing, Fletching, Foraging, Hunting, Knives, Observation, Orienteering, Tracking, Trapping","Bowyer, Cartographer, Huntmaster, Ranger, Scout, Surveyor, Apiarist"
Forger,5,35,90,15,"Appraisal, Armoury, Bargaining, Firebuilding, Hammer, Hauling, Invention, Leatherworking, Mending, Smithing","Armorer, Blacksmith, Farrier, Jeweler, Weaponsmith"
Fowler,6,25,60,15,"Animal Handling, Bartering, Camouflage, Falconry, Foraging, Hunting, Knots, Observation, Trapping, Weaving","Falconer, Henchman, Leatherworker, Trapper, Meat Curer"
Fugitive,2,10,20,0,"Bargaining, Begging, Brawling, Bribery, Climbing, Disguise, Falsehood, Foraging, Inconspicuous, Knives, Scavenging","Bandit, Blackmailer, Peddler, Pirate, Poacher, Prisoner, Thief, Thug, Indentured Soldier"
Gardener,7,60,160,40,"Bartering, Cooking, Digging, Farming, Folklore, Foraging, Gardening, Irrigation, Hauling, Meteorology","Florist, Grocer, Groundskeeper, Miller, Mystic, Caretaker, Dikeman, Grainmonger"
General,6,200,540,120,"Administration, Armoury, Bureaucracy, Campaigning, Command, Diplomacy, Formation Fighting, Fortifications, Geography, Heraldry, Intimidation, Law, Leadership, Logistics, Politics, Read, Siege, Strategy, Sword, Tactics, Write","Burgomaster, Duke, Marshal, Revolutionary, King, Queen"
Geometer,8,75,200,60,"Calligraphy, Cartography, Runic Charms, Geometry, Instruction, Invention, Illustration, Lecturing, Logic, Mathematics, Meditation, Philosophy, Read, Research, Symbology, Write","Professor, Guild Master, Philosopher, Alchemist, Astronomer, Inventor"
Governess,7,50,130,35,"Administration, Etiquette, Foreign Languages, History, Instruction, Logic, Musical Composition, Musical Instrument, Poetry, Read, Rhetoric, Write","Abbot, Bachelor of Artifice, Chronicler, Lady, Steward, Troubadour"
Governor,7,250,680,175,"Administration, Architecture, Aura Reading, Bargaining, Building, Campaigning, Command, Composition, Doctrine, Engineering, Etiquette, Faith, Falsehood, Geography, Heraldry, History, Leadership, Logic, Observation, Persuasion, Politics, Preaching, Ritual, Smuggling, Strategy, Theology, Ugly Truth","Chancellor, Lord, Duke, Magistrate, Count, Ambassador, Consul, Colonel, Vizier, Dictator"
Grainmonger,7,35,90,20,"Bargaining, Bartering, Conspicuous, Cooking, Digging, Farming, Folklore, Foraging, Gardening, Hauling, Meteorology","Farmer, Grocer, Merchant, Miller, "
Grave Digger,4,30,80,10,"Church Law, Cudgel, Digging, Folklore, Gardening, Hauling, Ritual","Cultist, Custodian, Digger, Monk, Rat Catcher, Miner, Supplicant"
Grave Robber,3,50,130,15,"Anatomy, Appraisal, Digging, Falsehood, Folklore, Hauling, Pickpocket, Ritual, Scavenging, Smuggling, Ugly Truth","Cultist, Digger, Peddler, Rat Catcher, Thief, Thug, Dikeman"
Grocer,8,50,130,40,"Accounting, Administration, Animal Handling, Baking, Bargaining, Butchery, Cooking, Logistics, Preservation, Smuggling, Ugly Truth","Ale Taster, Apothecary, Dock Master, Hosteller, Master Merchant, Yeoman"
Groom,4,65,170,25,"Animal Handling, Digging, Driving, Estate Management, Hauling, Leatherworking, Mending, Orienteering, Riding, Spear, Ugly Truth","Cavalryman, Farrier, Houndmaster, Huntmaster, Leatherworker, Master Caretaker, Yeoman, Equestrian"
Groundskeeper,7,45,120,30,"Building, Carpentry, Digging, Estate Management, Farming, Firebuilding, Foraging, Gardening, Hauling, Mending, Surveying","Farmer, Gardener, Huntmaster, Steward, Yeoman, Apiarist, Grainmonger, Plumber"
Guard,5,50,130,25,"Brawling, Conspicuous, Crossbow, Drinking, Extortion, Falsehood, Firebuilding, Fortifications, Grappling, Interrogation, Intimidation, Knives, Mace, Polearm, Spear, Wrestling","Bailiff, Bandit, Infantryman, Mercenary, Thug, Watchman, Crossbowman"
Guild Master,8,300,820,240,"Accounting, Administration, Appraisal, Bargaining, Bureaucracy, Diplomacy, Falsehood, Intimidation, Leadership, Logistics, Management, Persuasion, Prospecting, Read, Smuggling, Write","Alderman, Ambassador, Governor, Burgomaster, Judge, Lord"
Haberdasher,8,30,80,20,"Accounting, Appraisal, Bargaining, Bartering, Cobbling, Dyeing, Embroidery, Leatherworking, Mending, Sewing, Weaving","Draper, Engraver, Leatherworker, Master Craftsman, Merchant Adventurer, Tailor, Tradesman"
Hedge Wizard,7,100,270,70,"Alchemy, Ancient Languages, Brewing, Calligraphy, Demonology, Enchanting, Meteorology, Occultism, Read, Sorcery, Staff, Ugly Truth, Write","Apothecary, Demonologist, Master Magus, Elementalist, Rogue Wizard, Sorcerer"
Hedger,6,25,60,15,"Digging, Folklore, Foraging, Gardening, Hauling, Surveying, Ugly Truth","Digger, Henchman, Gardener, Groundskeeper"
Henchman,7,35,90,20,"Bartering, Building, Digging, Driving, Estate Management, Falsehood, Firebuilding, Hammer, Hauling, Housekeeping, Inconspicuous, Knots, Leatherworking, Mending, Smuggling","Leatherworker, Haberdasher, Housewright, Groundskeeper, Caretaker, Dikeman"
Herald,5,75,200,35,"Bureaucracy, Conspicuous, Diplomacy, Foreign Languages, Geography, Heraldry, History, Knives, Oratory, Persuasion, Politics","Ambassador, Bureaucrat, Chronicler, Spy, Steward"
Heretic,3,20,50,5,"Ancient Languages, Astrology, Church Law, Demonology, Faith, Heretical Doctrine, Inconspicuous, Intimidation, Meditation, Occultism, Oratory, Philosophy, Ritual, Theology","Convert, Covenanter, Cult Leader, Insurrectionist, Mystic, Assassin"
Hierophant,8,200,540,160,"Ancient Languages, Apothecary, Aura Reading, Church Law, Doctrine, Faith,  Intimidation, Meditation, Occultism, Oratory, Philosophy, Politics, Preaching, Ritual, Sing, Theology","Emperor, Philosopher, Pope, Prophet, Sage, Thaumaturge, Oracle"
Highwayman,5,65,170,30,"Bow, Brawling, Camouflage, Crossbow, Driving, Firebuilding, Intimidation, Knives, Scavenging, Tactics","Man-at-Arms, Mercenary, Prisoner, Sergeant, Assassin"
Hospital Warden,7,250,680,175,"Administration, Anatomy, Bloodletting, Field Dressing, Instruction, Logistics, Management, Midwifery, Philosophy, Poisons, Politics, Research, Surgery, Ugly Truth","Bureaucrat, Doctor, Governor, Guild Master, Master Physician"
Hosteller,6,60,160,35,"Accounting, Administration, Bargaining, Building, Carpentry, Cooking, Estate Management, Housekeeping, Management, Serving","Grocer, Master Merchant, Merchant, Yeoman"
Houndmaster,7,100,270,70,"Animal Handling, Bartering, Camouflage, Cudgel, Estate Management, Foraging, Herding, Hunting, Intimidation, Surveying, Tracking, Trapping","Falconer, Huntmaster, Master Caretaker, Surveyor"
Housewright,6,65,170,35,"Appraisal, Architecture, Axe, Building, Carpentry, Climbing, Hauling, Mason, Mending, Painting, Ugly Truth","Builder, Hosteller, Shipwright, Yeoman"
Hunter,5,35,90,15,"Axe, Butchery, Bow, Camouflage, Cooking, Foraging, Hunting, Knives, Navigation, Orienteering, Stealth, Survival, Tracking, Trapping","Archer, Curer, Meatmonger, Leatherworker, Trapper, Woodsman, Horse Archer"
Huntmaster,5,55,150,25,"Appraisal, Axe, Butchery, Bow, Camouflage, Cooking, Estate Management, Etiquette, Falconry, Foraging, Heraldry, Hunting, Knives, Navigation, Orienteering, Spear, Stealth, Survival, Tracking, Trapping","Archer, Bowyer, Leatherworker, Ranger, Scout, Yeoman, Fowler"
Indentured Soldier,4,20,50,5,"Armoury, Brawling, Camouflage, Formation Fighting, Marching, Siege, Tactics, Bow, Crossbow, Firearms, Polearm, Shield, Sword, Wrestling, Ancient Languages, Bloodletting, Doctrine, Healing, Leadership, Logistics, Riding, Theology","Seaman, Infantryman, Guard, Artillerist"
Infantryman,3,43,110,10,"Bow, Building, Campaigning, Crossbow, Digging, Field Dressing, Foraging, Formation Fighting, Fortifications, Hauling, Knives, Mace, Marching, Polearm, Shield, Spear, Sword, Wrestling","Archer, Artillerist, Crossbowman, Marine, Pikeman, Swordsman"
Initiate,4,20,50,5,"Ancient Languages, Astrology, Bloodletting, Dance, Doctrine, Faith, Folklore, Herbalism, Meditation, Occultism, Ritual, Seduction, Serving, Sing, Symbology","Covenanter, Cultist, Junior Magus, Mystic"
Inquisitor,6,60,160,35,"Administration, Bureaucracy, Church Law, Demonology, Doctrine, Extortion, Faith, Falsehood, Interrogation, Intimidation, Meditation, Ritual, Torture","Archpriest, Crusader, Custodian, Exorcist, Notary"
Insurrectionist,5,30,80,15,"Doctrine, Field Dressing, Firebuilding, Grappling, Heretical Doctrine, Knives, Law, Logistics, Munitions, Philosophy, Rhetoric, Tactics, Trapping, Wrestling","Cult Leader, Fugitive, Prisoner, Revolutionary, Assassin"
Inventor,6,250,680,150,"Appraisal, Architecture, Building, Engineering, Geometry, Invention, Lecturing, Logic, Mathematics, Metallurgy, Physics, Read, Smithing, Write","Professor, Guild Master, Master Craftsman, Forger, Alchemist, Geometer, Mechanical Engineer, Scientist"
Irrigator,5,35,90,15,"Bartering, Digging, Driving, Farming, Folklore, Foraging, Hauling, Surveying, Ugly Truth","Digger, Henchman, Gardener, Miner, Dikeman"
Jester,3,40,100,10,"Acrobatics, Acting, Aura Reading, Conspicuous, Dance, Disguise, Etiquette, Falsehood, Foreign Languages, Knives, Musical Instrument, Oratory, Persuasion, Rhetoric, Sing, Ugly Truth","Actor, Bard, Musician, Artist, Master Artisan, Spy, Wizard's Apprentice, Troubadour"
Jeweler,9,100,270,90,"Appraisal, Bargaining, Bartering, Engraving, Forgery, Gem Shaping, Geology, Inconspicuous, Mending, Metallurgy, Prospecting, Smithing, Smuggling,","Appraiser, Banker, Master Merchant, Smuggler, Tradesman, Sculptor"
Journeyman,6,45,120,25,"Accounting, Animal Handling, Appraisal, Bargaining, Bartering, Building, Carpentry, Cooking, Hammer, Illustration, Invention, Mending, Painting, Smithing","Artisan, Builder, Caretaker, Cook, Clerk, Craftsman, Forger, Merchant, Physician, Farrier"
Judge,9,175,470,155,"Administration, Bribery, Bureaucracy, Command, Conspicuous, Diplomacy, Falsehood, History, Lecturing, Law, Leadership, Politics, Read, Ugly Truth, Write","Ambassador, Alderman, Chamberlain, Burgomaster, Lord, Steward, Attorney"
Junior Magus,4,20,50,5,"Alchemy, Apothecary, Astrology, Calligraphy, Etiquette, Enchanting, Herbalism, History, Occultism, Read, Sorcery, Staff, Summoning, Symbology, Write","Adjunct Magus, Cripple, Senior Magus, Wizard's Apprentice"
Junior Student,4,20,50,5,"Accounting, Anatomy, Astronomy, Calligraphy, Etiquette, Foreign Languages, Geography, Geometry, History, Logic, Mathematics, Painting, Philosophy, Physics, Read, Rhetoric, Write, Illustration","Deacon, Journeyman, Junior Magus, Scribe, Senior Student"
King,10,2500,6840,2500,"Command, Estate Management, Falsehood, Geography, History, Intimidation, Lance, Law, Leadership, Logistics, Management, Politics, Read, Riding, Siege, Strategy, Sword, Tactics, Write","Bishop, Emperor, Fleet Admiral, Marshal"
Knight,5,100,270,50,"Bow, Boxing, Command, Dance, Estate Management, Etiquette, Falconry, Heraldry, Hunting, Knives, Lance, Law, Logistics, Politics, Read, Riding, Shield, Spear, Strategy, Sword, Write","Captain, Crusader, Deacon, Lieutenant, Lord, Spellsword, Ranger"
Labourer,6,25,60,15,"Axe, Animal Handling, Building, Carpentry, Digging, Farming, Folklore, Foraging, Hammer, Hauling, Mending, Rigging, Serving","Maid, Farmhand, Hedger, Irrigator, Ploughman, Reaper, Tiller, Dikeman, Woodsman"
Lady,9,100,270,90,"Accounting, Administration, Dance, Diplomacy, Etiquette, Falsehood, Musical Instrument, Persuasion, Poetry, Politics, Read, Riding, Seduction, Sing, Write","Accountant, Baron, Courtier, Chronicler, Custodian, Dame, Governess, Merchant, Physician, Viscount, Bachelor of Medicine, Equestrian"
Leatherworker,7,30,80,20,"Accounting, Appraisal, Bargaining, Cobbling, Crafting, Dyeing, Embroidery, Knives, Leatherworking, Mending, Sewing, Tanning","Cobbler, Tailor, Armorer, Tradesman, Master Craftsman"
Legislator,6,175,470,105,"Administration, Bureaucracy, Church Law, Diplomacy, Falsehood, History, Law, Logic, Oratory, Persuasion, Politics, Read, Rhetoric, Write","Ambassador, Attorney, Judge, Knight, Steward"
Leper,4,15,40,5,"Aura Reading, Begging, Church Law, Conspicuous, Disguise, Faith, Field Dressing, Folklore, Foraging, Hauling, Meditation, Scavenging","Cultist, Grave Digger, Pilgrim, Supplicant, Indentured Soldier"
Lieutenant,6,75,200,45,"Armoury, Campaigning, Command, Firearms, Formation Fighting, Fortifications, Knives, Leadership, Logistics, Riding, Sailing, Siege, Sword, Tactics","Bannerman, Captain, Commander, Prison Warden, Knight, Quartermaster, Bailiff"
Lord,7,200,540,140,"Bow, Command, Dance, Estate Management, Falconry, Geography, History, Hunting, Intimidation, Lance, Law, Leadership, Logistics, Politics, Read, Riding, Sing, Strategy, Sword, Write","Baron, Captain, Crusader, Priest, Ship Captain, Viscount, Magistrate"
Luthier,8,50,130,40,"Axe, Bargaining, Carpentry, Carving, Crafting, Foraging, Geometry, Hammer, Illustration, Logging, Mending, Musical Instrument","Bard, Musician, Engraver, Tradesman, Master Craftsman, Sculptor, Troubadour"
Magistrate,6,250,680,150,"Bargaining, Bureaucracy, Doctrine, Law, Logic, Persuasion, Politics, Read, Research, Ritual, Ugly Truth, Write","Governor, Vizier, Duke, Dictator, Senator, Lord, Ambassador, Commander, Burgomaster, Count, Attorney"
Maid,6,25,60,15,"Baking, Child-Rearing, Cooking, Embroidery, Etiquette, Housekeeping, Inconspicuous, Mending, Serving","Blackmailer, City Wife, Cook, Country Wife, Nurse, Florist"
Major,5,100,270,50,"Accounting, Administration, Campaigning, Command, Formation Fighting, Fortifications, Heraldry, Logistics, Observation, Politics, Read, Riding, Siege, Strategy, Tactics, Write","Baron, Burgomaster, Colonel, Viscount"
Man-at-Arms,4,80,210,30,"Bow, Campaigning, Bargaining, Command, Field Dressing, Firearms, Formation Fighting, Fortifications, Grappling, Knives, Mace, Marching, Munitions, Polearm, Riding, Shield, Siege, Spear, Sword, Wrestling","Crusader, Knight, Quartermaster, Sergeant, Spellsword, Bailiff"
Marine,3,60,160,15,"Axe, Building, Camouflage, Digging, Foraging, Field Dressing, Firearms, Grappling, Knives, Knots, Observation, Sailing, Seamanship, Shield, Stealth, Swimming, Wrestling","Ensign, Infantryman, Pirate, Privateer, Sailor, Sergeant"
Marshal,8,250,680,200,"Accounting, Administration, Campaigning, Command, Formation Fighting, Fortifications, Heraldry, Logistics, Observation, Politics, Read, Riding, Siege, Strategy, Tactics, Write","Burgomaster, King, Prince, Governor, Revolutionary, Queen"
Mason,6,55,150,30,"Accounting, Archaeology, Architecture, Building, Carpentry, Carving, Engineering, Fortifications, Geometry, Hammer, Hauling, Mason, Rigging","Architect, Archeologist, Builder, Engineer, Master Builder, Sculptor, Plumber, Senior Student"
Master Artisan,9,100,270,90,"Accounting, Acting, Appraisal, Architecture, Calligraphy, Carving, Hammer, Musical Composition, Musical Instrument, Painting, Poetry, Read, Sing, Write","Bureaucrat, Guild Master, Master Merchant, Philosopher"
Master Builder,8,150,410,120,"Accounting, Archaeology, Architecture, Astronomy, Building, Carpentry, Carving, Engineering, Fortifications, Geometry, Hammer, Hauling, Logistics, Mason, Management, Mathematics, Rigging","Bureaucrat, Guild Master, Archeologist, Master Craftsman, Master Merchant"
Master Cook,7,100,270,70,"Accounting, Baking, Bartering, Brewing, Butchery, Cooking, Etiquette, Foraging, Gardening, Herbalism, Knives, Management, Milling, Serving","Apothecary, Bureaucrat, Guild Master, Master Merchant"
Master Craftsman,10,120,320,120,"Accounting, Bargaining, Bartering, Carpentry, Carving, Cobbling, Counterfeiting, Dyeing, Embroidery, Hammer, Invention, Mending, Sewing, Smithing, Weaving","Bureaucrat, Guild Master, Master Builder, Master Merchant, Mechanical Engineer"
Master Magus,6,150,410,90,"Alchemy, Ancient Languages, Apothecary, Bloodletting, Demonology, Enchanting, Instruction, Meteorology, Occultism, Read, Research, Sorcery, Staff, Summoning, Write","Alchemist, Artificer, Court Astrologer, Court Wizard, Wizard of War, Sorcerer"
Master Merchant,9,500,1360,450,"Accounting, Administration, Appraisal, Bribery, Bargaining, Bartering, Falsehood, Geography, Logistics, Management, Prospecting, Read, Smuggling, Write","Banker, Burgomaster, Bureaucrat, Governor, Chamberlain, Guild Master"
Master of Artifice,6,80,210,45,"Alchemy, Anatomy, Ancient Languages, Astronomy, Geography, Geometry, History, Logic, Mathematics, Musical Composition, Painting, Philosophy, Physics, Read, Rhetoric, Write, Illustration","Adjunct Magus, Alchemist, Artisan, Astronomer, Inventor, Geometer, Philosopher, Professor, Scientist, Bard"
Master Physician,6,250,680,150,"Accounting, Anatomy, Apothecary, Bloodletting, Field Dressing, Herbalism, Knives, Lecturing, Mending, Midwifery, Persuasion, Poisons, Read, Ugly Truth, Write","Bureaucrat, Doctor, Guild Master, Hospital Warden, Master Merchant, Philosopher, Scientist"
Meat Curer,3,35,90,10,"Anatomy, Appraisal, Bargaining, Butchery, Cooking, Firebuilding, Hauling, Knives, Preservation, Tasting, Ugly Truth","Butcher, Grocer, Hosteller, Merchant, Meatmonger"
